,model,train_or_test,split_label,mcc,accuracy
91,LightGBMLarge_BAG_L1,test,1,0.5735688612620824,0.7296650717703349
92,LightGBMXT_BAG_L1,test,1,0.5707504219960743,0.7272727272727273
93,LightGBM_BAG_L1,test,1,0.5682314040441016,0.7260765550239234
94,XGBoost_BAG_L1,test,1,0.5845549542746316,0.736244019138756
95,RandomForestGini_BAG_L1,test,1,0.5731950343346892,0.7296650717703349
96,RandomForestEntr_BAG_L1,test,1,0.5695448862772315,0.7272727272727273
97,CatBoost_BAG_L1,test,1,0.5636642280090809,0.7230861244019139
98,ExtraTreesEntr_BAG_L1,test,1,0.5448441426419287,0.7117224880382775
99,ExtraTreesGini_BAG_L1,test,1,0.5633942423657,0.7230861244019139
100,NeuralNetTorch_BAG_L1,test,1,0.5568049094516125,0.7141148325358851
101,NeuralNetFastAI_BAG_L1,test,1,0.4918631788422602,0.6788277511961722
102,KNeighborsDist_BAG_L1,test,1,0.36562143887613735,0.59688995215311
103,KNeighborsUnif_BAG_L1,test,1,0.344120446639577,0.5777511961722488
104,LightGBMXT_BAG_L2,trainval,2,0.6290776390419991,0.7625124626121635
105,WeightedEnsemble_L3,trainval,2,0.6290776390419991,0.7625124626121635
106,XGBoost_BAG_L2,trainval,2,0.6215824169613631,0.7573280159521436
107,LightGBMLarge_BAG_L2,trainval,2,0.6180968005373823,0.7557328015952144
108,NeuralNetTorch_BAG_L2,trainval,2,0.6180421579512932,0.7545363908275174
109,LightGBM_BAG_L2,trainval,2,0.6170346603965993,0.7549351944167497
110,RandomForestEntr_BAG_L2,trainval,2,0.6105583166218591,0.7503489531405783
111,RandomForestGini_BAG_L2,trainval,2,0.6102766035918328,0.7503489531405783
112,ExtraTreesGini_BAG_L2,trainval,2,0.6097949417039253,0.7501495513459621
113,CatBoost_BAG_L2,trainval,2,0.6096450862705545,0.749950149551346
114,ExtraTreesEntr_BAG_L2,trainval,2,0.6083396451770707,0.7493519441674975
115,NeuralNetFastAI_BAG_L2,trainval,2,0.5997051027509342,0.7423728813559322
116,LightGBM_BAG_L1,trainval,2,0.5962476155120863,0.7433698903290129
117,WeightedEnsemble_L2,trainval,2,0.5962476155120863,0.7433698903290129
118,LightGBMLarge_BAG_L1,trainval,2,0.5956544111525859,0.7433698903290129
119,XGBoost_BAG_L1,trainval,2,0.5949847968922547,0.7425722831505484
120,LightGBMXT_BAG_L1,trainval,2,0.5899161842475945,0.7393818544366899
121,CatBoost_BAG_L1,trainval,2,0.5777655078970532,0.7320039880358923
122,RandomForestEntr_BAG_L1,trainval,2,0.5576557770095572,0.7200398803589232
123,RandomForestGini_BAG_L1,trainval,2,0.5570621081361812,0.7196410767696909
124,ExtraTreesEntr_BAG_L1,trainval,2,0.542519020395065,0.7106679960119641
125,NeuralNetTorch_BAG_L1,trainval,2,0.54203058140128,0.7068793619142573
126,ExtraTreesGini_BAG_L1,trainval,2,0.5388335907986593,0.7082751744765703
127,NeuralNetFastAI_BAG_L1,trainval,2,0.4731760171157373,0.6660019940179461
128,KNeighborsDist_BAG_L1,trainval,2,0.3700736909724826,0.5996011964107677
129,KNeighborsUnif_BAG_L1,trainval,2,0.3427422767058441,0.5770687936191425
130,LightGBMXT_BAG_L2,test,2,0.5804402999412341,0.7289048473967684
131,WeightedEnsemble_L3,test,2,0.5804402999412341,0.7289048473967684
132,XGBoost_BAG_L2,test,2,0.569309472528352,0.7211250748055057
133,LightGBMLarge_BAG_L2,test,2,0.5687414124353705,0.7211250748055057
134,NeuralNetTorch_BAG_L2,test,2,0.5797573791339715,0.7271095152603232
135,LightGBM_BAG_L2,test,2,0.56636229985137,0.7193297426690605
136,RandomForestEntr_BAG_L2,test,2,0.5751271474067668,0.725314183123878
137,RandomForestGini_BAG_L2,test,2,0.5713518821558317,0.7229204069419509
138,ExtraTreesGini_BAG_L2,test,2,0.5725792782786643,0.7241172950329144
139,CatBoost_BAG_L2,test,2,0.5733609899309391,0.7235188509874326
140,ExtraTreesEntr_BAG_L2,test,2,0.5764655801039082,0.7265110712148414
141,NeuralNetFastAI_BAG_L2,test,2,0.5710347709781493,0.7211250748055057
142,WeightedEnsemble_L2,test,2,0.5452080226589343,0.708557749850389
143,LightGBM_BAG_L1,test,2,0.5452080226589343,0.708557749850389
144,LightGBMLarge_BAG_L1,test,2,0.5583275786665229,0.7169359664871334
145,XGBoost_BAG_L1,test,2,0.5549411120121629,0.7145421903052065
146,LightGBMXT_BAG_L1,test,2,0.5522763020668353,0.7127468581687613
147,CatBoost_BAG_L1,test,2,0.5454316731655038,0.708557749850389
148,RandomForestEntr_BAG_L1,test,2,0.5388818806183087,0.7049670855774985
149,RandomForestGini_BAG_L1,test,2,0.5411322648576584,0.706163973668462
150,ExtraTreesEntr_BAG_L1,test,2,0.5235778161450492,0.6953919808497906
151,NeuralNetTorch_BAG_L1,test,2,0.49975446599454526,0.6774386594853381
152,ExtraTreesGini_BAG_L1,test,2,0.5279620972397491,0.6977857570317175
153,NeuralNetFastAI_BAG_L1,test,2,0.49024245704854874,0.6738479952124476
154,KNeighborsDist_BAG_L1,test,2,0.3208795154611946,0.566128067025733
155,KNeighborsUnif_BAG_L1,test,2,0.2981980168031723,0.5469778575703171
156,WeightedEnsemble_L3,trainval,3,0.6153447830551216,0.7529411764705882
157,NeuralNetTorch_BAG_L2,trainval,3,0.6132607427128763,0.7511465603190429
158,LightGBMXT_BAG_L2,trainval,3,0.6129002412082654,0.7511465603190429
159,LightGBMLarge_BAG_L2,trainval,3,0.6079988809162161,0.748554336989033
160,XGBoost_BAG_L2,trainval,3,0.6072085355391738,0.7471585244267198
161,NeuralNetFastAI_BAG_L2,trainval,3,0.6071851788476681,0.7457627118644068
162,ExtraTreesEntr_BAG_L2,trainval,3,0.6048609716515515,0.7463609172482553
163,RandomForestGini_BAG_L2,trainval,3,0.6029306905735042,0.744765702891326
164,LightGBM_BAG_L2,trainval,3,0.6019621361340495,0.7455633100697906
165,RandomForestEntr_BAG_L2,trainval,3,0.59821787450179,0.7417746759720838
166,ExtraTreesGini_BAG_L2,trainval,3,0.5973060386793938,0.7413758723828514
167,CatBoost_BAG_L2,trainval,3,0.5955763840393081,0.7399800598205384
168,LightGBMXT_BAG_L1,trainval,3,0.5928142030883701,0.7401794616151546
169,WeightedEnsemble_L2,trainval,3,0.5928142030883701,0.7401794616151546
170,XGBoost_BAG_L1,trainval,3,0.5919621084739958,0.7393818544366899
171,LightGBMLarge_BAG_L1,trainval,3,0.5917093079343088,0.7395812562313061
172,LightGBM_BAG_L1,trainval,3,0.5905942523055472,0.7387836490528414
173,RandomForestEntr_BAG_L1,trainval,3,0.5702195616929591,0.7264207377866401
174,RandomForestGini_BAG_L1,trainval,3,0.5689093726175322,0.7256231306081755
175,CatBoost_BAG_L1,trainval,3,0.5676747787571987,0.7244267198404786
176,ExtraTreesEntr_BAG_L1,trainval,3,0.5481482312238598,0.7124626121635095
177,ExtraTreesGini_BAG_L1,trainval,3,0.5480781191878666,0.7126620139581257
178,NeuralNetTorch_BAG_L1,trainval,3,0.5331940536185164,0.6991026919242274
179,NeuralNetFastAI_BAG_L1,trainval,3,0.48065434498798176,0.66839481555334
